Name,Address,Arrondissement,Address Notes,url,Artists,Artist Notes
Cohle Gallery,"7 Rue d'Argenteuil, 75001 Paris, France",1,near Louvre,https://www.cohlegallery.com/,various,house
Galerie du 9ème Art,"4 Rue Crétet, 75009 Paris, France",9,near Pigalle/Clichy,https://www.galerie9art.fr/,various,anime etc
Galerie Estampes,"48 Rue la Fayette, 75009 Paris",9,,,none,none
Wilo & Grove,"40 Rue des Petits Carreaux, 75002 Paris, France",2,east of palais garnier almost to sebastopol,https://www.wilo-grove.com/,various,house
Galerie Vu,"58 Rue Saint-Lazare, 75009 Paris, France",9,near eglise de sainte trinite,https://galerievu.com/,Yves Tremorin,photography mex/celt
Fondation Taylor,1 Rue la Bruyere 75009 Paris,9,same street as hotel,https://www.taylor.fr/en,Jean Paul Ruiz et les portraits de Thierry Dalat.,painting/drawings
Galerie Natsara la maison des Hommes,"29 Rue Taitbout, 75009 Paris, France",9,east of palais garnier,http://www.natsara.com/,unknown,more of a store?
Galerie Johann Naldi,"17 Rue Henry Monnier, 75009 Paris, France",9,near hotel,https://www.galeriejohannnaldi.com/,unknown,jack the ripper
Marion Vidal,"13 Av. Trudaine, 75009 Paris, France",9,east of hotel near clichy and 10,https://marionvidal.com/en/,marion vidal,jewelry
Galerie Joseph Bachaumont,"7 Rue Bachaumont, 75002 Paris, France",2,nw of louvre,https://galeriejoseph.com/en/espace-atypique-paris-bachaumont/,none,designer interior ?
High Art,"1 Rue Fromentin, 75009 Paris, France",9,near Pigalle/Clichy,https://highart.fr/,Philipp Timischl,raccoon paintings
Mu Gallery Paris - Les Arts Méditatifs,"53 Rue Blanche, 75009 Paris, France",9,west of hotel,https://www.mugallery.paris/,unknown,meditation place
Passage Jouffroy,"10-12 Bd Montmartre, 75009 Paris, France",9,east of palais garnier,https://en.wikipedia.org/wiki/Passage_Jouffroy,unknown,covered passage
1831 Art Gallery,"6 Rue de Lille, 75007 Paris, France",7,across river from louvre,https://www.1831artgallery.com/?lang=en,unknown,unknown
Paris-B,"62 R. de Turbigo, 75003 Paris, France",3,south/east of bd st martin/bd sebastopol,https://www.paris-b.com/,various,sculpture weird art
Galerie Thaddaeus Ropac Paris Marais,"7 Rue Debelleyme, 75003 Paris, France",3,le marais,https://ropac.net/exhibitions/,"Amos Gitai, Tony Crag, Gilbert and George, Mapplethorpe (early)",painting and sculpture
Laurence Esnol Gallery,"7 Rue Bonaparte, 75006 Paris, France",6,near notre dame,https://www.laurenceesnolgallery.com/en/,unknown,not up to date but past looked good paintings
"Amelie, Maison d'art","18 Rue Séguier, 75006 Paris, France",6,near notre dame,https://www.ameliemaisondart.com/en/,unknown,
Gallery Geraldine Banier,"54 Rue Jacob, 75006 Paris, France",6,south of river across from louvre,https://www.geraldinebanier.fr/,unknown,
Galerie Joseph Bachaumont,"7 Rue Bachaumont, 75002 Paris, France",2,near les halles,https://galeriejoseph.com/en/espace-atypique-paris-bachaumont/,unknown,for sale?
Galerie Montmartre,"11 Pl. du Tertre, 75018 Paris, France",18,west of basilica,https://www.galerie-montmartre.com/en/,various,"looks interesting, dali?"
Galerie Chappe,"4 Rue André Barsacq, 75018 Paris, France",18,sw of basilica,http://www.galeriechappe.com/,unknown,for sale?
Galerie Contemporaine,"3 Rue Joseph de Maistre, 75018 Paris, France",18,near clichy,,unknown,
Art 21,"27 Rue Tholozé, 75018 Paris, France",18,near blanche station,https://art21concept.com/,various,
Akiza,"3 Rue Tholozé, 75018 Paris, France",18,near blanche station,https://www.instagram.com/akiza_akiza/,Akiza,street art adjacent
Galerie Hus,"4 Rue Aristide Bruant, 75018 Paris, France",18,near blanche station,http://www.husgallery.com/artistes.php,various,works on paper
Galerie La Vigne,"17 Rue du Mont-Cenis, 75018 Paris, France",18,west of basilica,https://www.galerielavigne.com/en,various,oil paintings old?
Galerie AVM,"42 Rue Caulaincourt, 75018 Paris, France",18,,https://www.galerieavm.com/, early,looks cool
Galerie la Clairière,"93 Rue Lamarck, 75018 Paris, France",18,,https://www.instagram.com/cecile_la_clairiere/?hl=en,unknown,instagram
Galerie 3F,"58 Rue des Trois Frères, 75018 Paris, France",18,,https://www.galerie3f.fr/paris/,unknown,
The White Gallery Paris,"77 Rue Lepic, 75018 Paris, France",18,,,unknown,
Christine Diegoni Gallery,"47 Ter Rue d'Orsel, 75018 Paris, France",18,,https://www.christinediegoni.fr/,Gino Sarfatti,I think these are just lamps
Galerie du Chevalier,"42 Rue du Chevalier de la Barre, 75018 Paris, France",18,,https://www.galerie-chevalier.com/en/,unknown,just decorative arts
L'Atelier d'Art Lepic,"1 Rue Tourlaque, 75018 Paris, France",18,,http://www.artlepic.org/index_eng.php,unknown,
Galerie d'Art Robert Philippe,"14B Rue Norvins, 75018 Paris, France",18,,,unknown,
Paris Atelier 18,"Bâtiment B, 189 Rue Ordener, 75018 Paris, France",18,,,unknown,
L'Expo Montmartre,"30 Rue des Trois Frères, 75018 Paris, France",18,,,unknown,
IS'ART Galerie,"54 Rue Lamarck, 75018 Paris, France",18,,,unknown,
Galerie Francesco Vangelli de'Cresci ,"54 Rue Lepic, 75018 Paris, France",18,,https://www.francescovangelli.com/fr/,Francesco Vangelli de' Cresci,artist’s gallery
Gallery New Athens,"22 Rue Chaptal, 75009 Paris, France",18,,,,
Maison Muller,"6 Rue Muller, 75018 Paris, France",18,,,,
Galerie les 26 Chaises,"47-49 Rue Polonceau, 75018 Paris, France",18,,,,
Galerie L77,"77 Rue Lepic, 75018 Paris, France",18,,https://www.instagram.com/galerie.l77/,Cyril Faure,photography instagram
Paris Atelier 18,"Bâtiment B, 189 Rue Ordener, 75018 Paris, France",18,,https://www.atelier-18.com/,unknown,just decorative arts
Espace Canopy,"19 Rue Pajol, 75018 Paris, France",18,,https://www.espacecanopy.fr/,unknown,not sure what this is
Art-Exprim,"87 Rue Marcadet, 75018 Paris, France",18,,https://www.art-exprim.com/,unknown,not sure what this is
L'Expo Montmartre,"0 Rue des Trois Frères, 75018 Paris, France",18,,,,
l'Oeil du Huit,"19 Rue Boucry, 75018 Paris, France",18,,https://oeilduhuit.com/,unknown,just decorative arts
Tornabuoni Art Gallery,"16 Av. Matignon, 75008 Paris, France",18,,https://www.tornabuoniart.com/en/,Carla Lonzi et al,various contemporary
Mariane Ibrahim,"18 Av. Matignon, 75008 Paris, France",18,,https://marianeibrahim.com/,Shannon Lewis,contemporary
Ateliers Artelle,"4 Rue Jean Varenne, 75018 Paris, France",8,,https://www.facebook.com/p/Ateliers-Artelle-100064621962315/,unknown,facebook
Lis10 Gallery,"18 Rue de Crussol, 75011 Paris, France",11,,https://www.lis10gallery.com/,Giger et al,metal metamorphosis
The Pop Art Store,"18 Rue de Miromesnil, 75008 Paris, France",8,,https://thepopartstoreparis.com/,various,pop art
Galerie Les filles du calvaire,"17 Rue des Filles du Calvaire, 75003 Paris, France",3,,https://www.fillesducalvaire.com/,"thomas levy-lasne, frances goodman et al",
Galerie Thaddaeus Ropac Paris Marais,"7 Rue Debelleyme, 75003 Paris, France",3,,https://ropac.net,various,big name
Perrotin,"76 Rue de Turenne, 75003 Paris, France",3,,https://www.perrotin.com/,various,big name
Lelong & Co. Gallery,"13 Rue de Téhéran, 75008 Paris, France",8,,https://www.galerie-lelong.com/en/,richard serra louise bourgeois,casablanca
Gagosian,"4 Rue de Ponthieu, 75008 Paris, France",8,,https://gagosian.com/locations/paris/,unknown,
Gagosian,"9 Rue de Castiglione, 75001 Paris, France",9,,https://gagosian.com/locations/paris-rue-de-castiglione/,Urs Fischer,photography 
Almine Rech Gallery,"64 Rue de Turenne, 75003 Paris, France",3,,https://www.alminerech.com/,Minjung Kim,regeneration
Galerie Chantal Crousel,"10 Rue Charlot, 75003 Paris, France",3,,https://www.crousel.com/en/,Nick Mauss,large abstract
Galerie Templon,"30 Rue Beaubourg, 75003 Paris, France",3,,https://www.templon.com/exhibitions/current/,unknown,big name
Galerie Lelong & Co. Paris,"38 Av. Matignon, 75008 Paris, France",8,,https://www.galerie-lelong.com/en/,Jan Voss,big name
Gagosian,"4 Rue de Ponthieu, 75008 Paris, France",8,,https://gagosian.com/locations/paris/,lauren halsey,big foam cityscape
Marian Goodman Gallery,"79 Rue du Temple, 75003 Paris, France",3,,https://www.mariangoodman.com/,tavares strachan,weird contemporary scape
White Cube,"10 Av. Matignon, 75008 Paris, France",8,,https://www.whitecube.com/,darren almond,large abstract
Galerie Templon,"28 Rue du Grenier-Saint-Lazare, 75003 Paris, France",3,,https://www.templon.com/exhibitions/current/,Daniel Dezeuze,large abstract
Praz-Delavallade,"5 Rue des Haudriettes, 75003 Paris, France",3,,https://www.praz-delavallade.com/,Jim Shaw,ducks?
Mennour,"47 Rue Saint-André des Arts, 75006 Paris, France",6,,https://mennour.com/,Maryan?,no clue
Hauser & Wirth,"26 bis Rue François 1er, 75008 Paris, France",8,,https://www.hauserwirth.com/,Matsutani,japanese abstract
"Esther Schipper, Paris","16 Pl. Vendôme, 75001 Paris, France",1,,https://www.estherschipper.com/viewing-room/49-paris-exhibitions-at-the-gallery-and-in-france/,unknown,courtyard at vendome?
Skarstedt Gallery Paris,"2 Av. Matignon, 75008 Paris, France",8,,https://www.skarstedt.com/,Juan Munoz,sculpture?
A2Z Art Gallery,"24 Rue de l'Echaudé, 75006 Paris, France",6,,https://www.a2z-art.com/,unknown,
Galerie Vazieux,"5 bis Rue du Louvre, 75001 Paris, France",1,,https://www.vazieux.com/en/,unknown,
Mendes Wood DM,"25 Pl. des Vosges, 75004 Paris, France",4,,https://mendeswooddm.com/,unknown,
Galerie Max Hetzler,"46 & 57 Rue du Temple, 75004 Paris, France",4,,https://www.maxhetzler.com/,various,ongoing looks good
David Zwirner,"108 Rue Vieille du Temple, 75003 Paris, France",3,,https://www.davidzwirner.com/,various,big name
DUMONTEIL,"38 Rue de l'Université, 75007 Paris, France",7,,http://www.dumonteil.com/,Weng Jijun,glimmer of the stars
Mayoral,"36 Av. Matignon, 75008 Paris, France",8,,https://galeriamayoral.com/,unknown,barcelona
Yvon Lambert Gallery,"14 Rue des Filles du Calvaire, 75003 Paris, France",3,,https://www.yvon-lambert.com/,Jonas Lindstroem early,through apr 7
Modus Art Gallery,"23 Pl. des Vosges, 75004 Paris, France",4,,https://www.modus-gallery.com/,Kurar,street art adjacent
BY Chatel Fine Arts,"109 R. Quincampoix, 75003 Paris, France",3,,https://www.bychatel.com/,unknown,
Galerie Mickael Marciano,"26 Pl. des Vosges, 75003 Paris, France",3,,https://www.galerie-marciano.com/en/galleries-marciano-contemporary-galerie-dart-paris-2/,jean paul surin,looks like old landscape
ARTSYMBOL,"24, 21 Pl. des Vosges, 75003 Paris, France",3,,https://artsymbol.com/en/about-us/,various,figurative?
Claire Corcia Gallery,"323 Rue Saint-Martin, 75003 Paris, France",3,,https://galerieclairecorcia.com/en/the-gallery/,unknown,
"RX&SLAG, Paris","16 Rue des Quatre-Fils, 75003 Paris, France",3,,https://www.galerierx.com/en,various,big?
Collection Gallery,"5 Rue de Picardie, 75003 Paris, France",3,,,,
Galerie Jeanne Bucher Jaeger,"5 Rue de Saintonge, 75003 Paris, France",3,,https://jeannebucherjaeger.com/,unknown,street art adjacent
Lebenson Gallery,"130 Rue du Faubourg Saint-Honoré, 75008 Paris, France",8,,https://www.lebensongallery.com/en-us,Yuval Shaul,sculptor goes back to painting
mor charpentier,"61 Rue de Bretagne, 75003 Paris, France",3,,https://www.mor-charpentier.com/,Nohemi Perez,big paintings?
Ofr. Grande galerie,"1 Rue Eugène Spuller, 75003 Paris, France",3,,https://www.instagram.com/ofrparis/?hl=en,unknown,book shop instagram?
AFIKARIS Gallery,"7 Rue Notre Dame de Nazareth, 75003 Paris, France",3,,https://afikaris.com/,various,africa!
Semiose,"44 R. Quincampoix, 75004 Paris, France",4,,https://semiose.com/,amy bravo et al,paintings
Bigaignon,"18 Rue du Bourg Tibourg, 75004 Paris, France",4,,https://bigaignon.com/,various,sculpture?
Maria Wettergren Gallery,"121 Rue Vieille du Temple, 75003 Paris, France",3,,http://www.mariawettergren.com/,unknown,
Frank Elbaz Gallery,"66 Rue de Turenne, 75003 Paris, France",3,,https://www.galeriefrankelbaz.com/,various,sculpture painting contemporary abstract
Galerie Georges-Philippe & Nathalie Vallois,"36 Rue de Seine, 75006 Paris, France",6,,https://www.galerie-vallois.com/en/,Emanuel Proweller,painting abstract
Art: Concept,"4 Passage Sainte Avoye, entrée par le 8, rue Rambuteau, 75003 Paris, France",3,,http://www.galerieartconcept.com/en/,unknown,are they open?
Behind The Door,"187 Rue du Temple, 75003 Paris, France",3,,https://www.behindthedoor.gallery/,sterling ruby et al,nice paintings weird
